Title;Author;Price;Url
Bash и кибербезопасность: атака, защита и анализ из ...;Тронкон;1525 р.;https://www.piter.com/collection/kompyutery-i-internet/product/bash-i-kiberbezopasnost-ataka-zaschita-i-analiz-iz-komandnoy-stroki-linux
Глубокое обучение на Python;Шолле;1487 р.;https://www.piter.com/collection/kompyutery-i-internet/product/glubokoe-obuchenie-na-python
Apache Kafka. Потоковая обработка и анализ данных;Нархид;1470 р.;https://www.piter.com/collection/kompyutery-i-internet/product/apache-kafka-potokovaya-obrabotka-i-analiz-dannyh
Чистый Agile. Основы гибкости;Мартин;1451 р.;https://www.piter.com/collection/kompyutery-i-internet/product/chistyy-agile-osnovy-gibkosti
Мифический человеко-месяц, или Как создаются програм...;Брукс;1446 р.;https://www.piter.com/collection/kompyutery-i-internet/product/mificheskiy-cheloveko-mesyats-ili-kak-sozdayutsya-programmnye-sistemy
Прагматичный ИИ. Машинное обучение и облачные технол...;Гифт;1442 р.;https://www.piter.com/collection/kompyutery-i-internet/product/pragmatichnyy-ii-mashinnoe-obuchenie-i-oblachnye-tehnologii
Геймдизайн. Рецепты успеха лучших компьютерных игр о...;Сильвестр;1438 р.;https://www.piter.com/collection/kompyutery-i-internet/product/geymdizayn-retsepty-uspeha-luchshih-kompyuternyh-igr-ot-super-mario-i-doom-do-assassins-creed-i-dalshe
Профессиональный TypeScript. Разработка масштабируем...;Черный ;1438 р.;https://www.piter.com/collection/kompyutery-i-internet/product/professionalnyy-typescript-razrabotka-masshtabiruemyh-javascript-prilozheniy
Black Hat Python: программирование для хакеров и пен...;Зейтц;1428 р.;https://www.piter.com/collection/kompyutery-i-internet/product/black-hat-python-programmirovanie-dlya-hakerov-i-pentesterov-2-e-izd
Однострочники Python: лаконичный и содержательный код;Майер;1428 р.;https://www.piter.com/collection/kompyutery-i-internet/product/odnostrochniki-python-lakonichnyy-i-soderzhatelnyy-kod
Изучаем C# через разработку игр на Unity. 5-е издание;Ферроне;1428 р.;https://www.piter.com/collection/kompyutery-i-internet/product/izuchaem-c-cherez-razrabotku-igr-na-unity-5-e-izdanie
Большая книга проектов Python;Свейгарт;1428 р.;https://www.piter.com/collection/kompyutery-i-internet/product/bolshaya-kniga-proektov-python
Машинное обучение для бизнеса и маркетинга;Кацов;1386 р.;https://www.piter.com/collection/kompyutery-i-internet/product/mashinnoe-obuchenie-dlya-biznesa-i-marketinga
Цифровая  гигиена;Ашманов И.;1380 р.;https://www.piter.com/collection/kompyutery-i-internet/product/tsifrovaya-gigiena
Компьютерная графика. Рейтрейсинг и растеризация;Гамбетта;1380 р.;https://www.piter.com/collection/kompyutery-i-internet/product/kompyuternaya-grafika-reytreysing-i-rasterizatsiya
Масштабируемый рефакторинг. Возвращаем контроль над ...;Лемер;1380 р.;https://www.piter.com/collection/kompyutery-i-internet/product/masshtabiruemyy-refaktoring-vozvraschaem-kontrol-nad-kodom
Python, например;Лейси;1344 р.;https://www.piter.com/collection/kompyutery-i-internet/product/python-naprimer
